Nom;Latitude;Longitude;Hauteur
Albé;48.358;7.3165;30
Altenberg;48.853;7.319;36
Bellefosse;48.393;7.2696;43
Bernardvillé;48.3686;7.4026;35
Champs du feu ;48.39575;7.2691;45
Chapelle Notre Dame des Tilleuls;48.91869;7.85909;
Château de Lichtenberg;48.92138;7.78649;
Château du Haut Barr;48.725;7.338;34.5
Château du Hunebourg;48.8338;7.36439;
Dambach-Windstein (Niederbronn);48.9841;7.6722;40
Eckartswiller;48.8723;7.3644;30
FC Lampertsloch;48.96374;7.80804;
Forlenwald;48.783;7.875;36
Goerlingen;48.7999;7.0935;45
Grand Wintersberg;48.978;7.615;52
Hochwald;48.95;7.122;56
Langensoultzbach;48.9665;7.7381;40
Le Donon;48.51;7.161;50
Lorentzen;48.9689;7.1691;30
Osterlamm Déchetterie;48.482;7.57;38.8
Pfriemenkopf;48.45;7.253;30
Rocher du coucou;48.295;7.312;45
Site du Kirchberg;48.900034;7.1457;29
Tour du chemin des cimes;48.98615;7.85739;29
Tour du Wintersberg;48.97879;7.61465;25
Tour exercice Haguenau;48.81839;7.79124;
Tour TDF du Donon;48.51399;7.16477;84

